match_key,player,pos,age,minutes_played,goals,assists,xg,xag,is_starter
2025-11-23_lyon,Khalis Merah,AM,18-272,45,0,0,0.0,0.0,False
2025-11-23_lyon,Mathys De Carvalho,DM,20-206,28,0,0,0.0,0.0,False
2025-11-23_lyon,Adil Hamdani,RW,16-306,6,0,0,0.0,0.0,False
2025-11-30_lyon,Abner,WB,25-187,90,1,0,0.1,0.1,True
2025-11-30_lyon,Corentin Tolisso,AM,31-119,90,0,0,0.8,0.4,True
2025-11-30_lyon,Dominik Greif,GK,28-238,90,0,0,0.0,0.0,True
2025-11-30_lyon,Nicolás Tagliafico,CB,33-091,90,0,0,0.0,0.1,True
2025-11-30_lyon,Moussa Niakhate,CB,29-267,90,0,0,0.0,0.0,True
2025-11-30_lyon,Pavel Šulc,AM,24-336,90,0,1,0.2,0.2,True
2025-11-30_lyon,Tanner Tessmann,CB,24-067,89,0,0,0.0,0.0,True
2025-11-30_lyon,Tyler Morton,CM,23-030,84,0,0,0.1,0.0,True
2025-11-30_lyon,Martin Satriano,FW,24-283,84,2,0,0.5,0.0,True
2025-11-30_lyon,Hans Hateboer,WB,31-325,71,0,0,0.5,0.0,True
2025-11-30_lyon,Mathys De Carvalho,CM,20-213,71,0,0,0.0,0.1,True
2025-11-30_lyon,Afonso Moreira,CM,20-256,19,0,1,0.1,0.7,False
2025-11-30_lyon,Ainsley Maitland-Niles,WB,28-093,19,0,0,0.0,0.0,False
2025-11-30_lyon,Adam Karabec,FW,22-151,6,0,0,0.1,0.0,False
2025-11-30_lyon,Orel Mangala,CM,27-257,6,0,0,0.0,0.0,False
2025-11-30_lyon,Khalis Merah,CB,18-279,1,0,0,0.0,0.1,False
2025-12-07_lyon,Abner,"WB,CB",25-194,90,0,0,0.0,0.0,True
2025-12-07_lyon,Corentin Tolisso,"CM,AM",31-126,90,0,0,0.2,0.1,True
2025-12-07_lyon,Clinton Mata,CB,33-030,90,0,0,0.0,0.0,True
2025-12-07_lyon,Martin Satriano,FW,24-290,90,0,0,0.0,0.2,True
2025-12-07_lyon,Dominik Greif,GK,28-245,90,0,0,0.0,0.0,True
2025-12-07_lyon,Tyler Morton,CM,23-037,90,0,0,0.0,0.0,True
2025-12-07_lyon,Moussa Niakhate,CB,29-274,90,0,0,0.0,0.0,True
2025-12-07_lyon,Pavel Šulc,AM,24-343,90,0,0,0.0,0.0,True
2025-12-07_lyon,Nicolás Tagliafico,CB,33-098,69,0,0,0.0,0.0,True
