match_key,combo,size
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Malick Fofana + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Malick Fofana + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Malick Fofana + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Malick Fofana + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Malick Fofana + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Moussa Niakhate + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Moussa Niakhate + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Moussa Niakhate + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Moussa Niakhate + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Malick Fofana + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Malick Fofana + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Malick Fofana + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Malick Fofana + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Malick Fofana + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Moussa Niakhate + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Moussa Niakhate + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Moussa Niakhate + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Malick Fofana + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Malick Fofana + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Malick Fofana + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Malick Fofana + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Malick Fofana + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Moussa Niakhate + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Moussa Niakhate + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Moussa Niakhate + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Moussa Niakhate + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Moussa Niakhate + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Moussa Niakhate + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Moussa Niakhate + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Moussa Niakhate + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Malick Fofana + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Moussa Niakhate + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Moussa Niakhate + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Moussa Niakhate + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Moussa Niakhate + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Moussa Niakhate + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Moussa Niakhate + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Rémy Descamps + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Rémy Descamps + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Rémy Descamps + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Sael Kumbedi + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Georges Mikautadze,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Malick Fofana,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Georges Mikautadze,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Corentin Tolisso + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Georges Mikautadze + Malick Fofana,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Georges Mikautadze + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Georges Mikautadze + Rémy Descamps,4
