combo,size,matches_together
Corentin Tolisso + Malick Fofana + Tanner Tessmann + Tyler Morton,4,6
Corentin Tolisso + Malick Fofana + Moussa Niakhate + Tyler Morton,4,6
Corentin Tolisso + Malick Fofana + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,6
Abner + Dominik Greif + Tyler Morton,3,6
Adam Karabec + Clinton Mata + Dominik Greif + Moussa Niakhate,4,6
Corentin Tolisso + Khalis Merah,2,6
Corentin Tolisso + Dominik Greif + Tanner Tessmann,3,6
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Nicolás Tagliafico,5,6
Abner + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate,4,6
Corentin Tolisso + Dominik Greif + Moussa Niakhate + Tanner Tessmann,4,6
Corentin Tolisso + Dominik Greif + Moussa Niakhate + Pavel Šulc + Tyler Morton,5,6
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Nicolás Tagliafico,4,6
Corentin Tolisso + Dominik Greif + Moussa Niakhate + Pavel Šulc,4,6
Corentin Tolisso + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,5,6
Corentin Tolisso + Dominik Greif + Martin Satriano + Tyler Morton,4,6
Abner + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate,4,6
Abner + Corentin Tolisso + Tanner Tessmann,3,6
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana,5,6
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Moussa Niakhate,5,6
Clinton Mata + Moussa Niakhate + Pavel Šulc + Tyler Morton,4,6
Clinton Mata + Moussa Niakhate + Pavel Šulc,3,6
Clinton Mata + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,4,6
Clinton Mata + Martin Satriano + Moussa Niakhate,3,6
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Malick Fofana,4,6
Clinton Mata + Malick Fofana + Tanner Tessmann + Tyler Morton,4,6
Clinton Mata + Malick Fofana + Moussa Niakhate + Tyler Morton,4,6
Clinton Mata + Malick Fofana + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,6
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Tanner Tessmann + Tyler Morton,5,6
Adam Karabec + Malick Fofana,2,6
Clinton Mata + Khalis Merah + Tyler Morton,3,6
Clinton Mata + Khalis Merah + Moussa Niakhate,3,6
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Tyler Morton,5,6
Clinton Mata + Dominik Greif + Tanner Tessmann,3,6
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Moussa Niakhate + Tyler Morton,5,6
Clinton Mata + Dominik Greif + Moussa Niakhate + Tanner Tessmann,4,6
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Moussa Niakhate,5,6
Abner + Ainsley Maitland-Niles + Moussa Niakhate,3,6
Clinton Mata + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,5,6
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana,4,6
Afonso Moreira + Clinton Mata + Dominik Greif,3,6
Clinton Mata + Dominik Greif + Martin Satriano + Moussa Niakhate,4,6
Abner + Clinton Mata + Corentin Tolisso + Dominik Greif,4,6
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Tyler Morton,5,6
Ainsley Maitland-Niles + Clinton Mata + Khalis Merah,3,6
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Tanner Tessmann,4,6
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Nicolás Tagliafico + Tyler Morton,5,6
Clinton Mata + Corentin Tolisso + Nicolás Tagliafico + Tyler Morton,4,6
Abner + Clinton Mata + Corentin Tolisso + Pavel Šulc,4,6
Abner + Clinton Mata + Corentin Tolisso + Pavel Šulc + Tyler Morton,5,6
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Pavel Šulc + Tyler Morton,5,6
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Pavel Šulc,4,6
Abner + Clinton Mata + Dominik Greif,3,6
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Nicolás Tagliafico,4,6
Adam Karabec + Clinton Mata + Malick Fofana,3,6
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Moussa Niakhate + Tyler Morton,5,6
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Moussa Niakhate,4,6
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Moussa Niakhate + Tanner Tessmann,5,6
Clinton Mata + Corentin Tolisso + Martin Satriano + Moussa Niakhate,4,6
Clinton Mata + Corentin Tolisso + Malick Fofana + Tanner Tessmann + Tyler Morton,5,6
Clinton Mata + Corentin Tolisso + Malick Fofana + Moussa Niakhate + Tyler Morton,5,6
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,5,6
Clinton Mata + Corentin Tolisso + Khalis Merah,3,6
Clinton Mata + Corentin Tolisso + Dominik Greif + Nicolás Tagliafico + Tyler Morton,5,6
Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,5,6
Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate,5,6
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana,3,6
Dominik Greif + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,4,6
Afonso Moreira + Clinton Mata,2,6
Ainsley Maitland-Niles + Pavel Šulc + Tyler Morton,3,6
Ainsley Maitland-Niles + Pavel Šulc,2,6
Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,5,5
Afonso Moreira + Corentin Tolisso,2,5
