combo,size,matches,avg_points,avg_score_final,combo_size
Hans Hateboer + Mathys De Carvalho + Tyler Morton,3,5,1.6,60.63,3
Hans Hateboer + Moussa Niakhate + Pavel Šulc,3,5,1.6,60.63,3
Hans Hateboer + Moussa Niakhate + Tyler Morton,3,5,1.6,60.63,3
Hans Hateboer + Pavel Šulc + Tyler Morton,3,5,1.6,60.63,3
Abner + Afonso Moreira + Mathys De Carvalho,3,5,1.6,60.09,3
Abner + Corentin Tolisso + Mathys De Carvalho,3,5,1.6,60.09,3
Abner + Dominik Greif + Mathys De Carvalho,3,5,1.6,60.09,3
Abner + Martin Satriano + Mathys De Carvalho,3,5,1.6,60.09,3
Abner + Mathys De Carvalho + Moussa Niakhate,3,5,1.6,60.09,3
Abner + Mathys De Carvalho + Pavel Šulc,3,5,1.6,60.09,3
Adam Karabec + Nicolás Tagliafico + Pavel Šulc,3,10,1.6,59.73,3
Adam Karabec + Nicolás Tagliafico + Tyler Morton,3,10,1.6,59.58,3
Abner + Corentin Tolisso + Tyler Morton,3,10,1.6,59.37,3
Abner + Pavel Šulc + Tyler Morton,3,10,1.6,59.37,3
Martin Satriano + Tanner Tessmann + Tyler Morton,3,7,1.57,60.29,3
Abner + Afonso Moreira + Dominik Greif,3,7,1.57,60.08,3
Abner + Afonso Moreira + Martin Satriano,3,7,1.57,60.08,3
Abner + Corentin Tolisso + Dominik Greif,3,7,1.57,60.08,3
Abner + Corentin Tolisso + Martin Satriano,3,7,1.57,60.08,3
Abner + Dominik Greif + Martin Satriano,3,7,1.57,60.08,3
Abner + Dominik Greif + Pavel Šulc,3,7,1.57,60.08,3
Abner + Martin Satriano + Pavel Šulc,3,7,1.57,60.08,3
Afonso Moreira + Mathys De Carvalho + Nicolás Tagliafico,3,7,1.57,59.09,3
Ainsley Maitland-Niles + Mathys De Carvalho + Nicolás Tagliafico,3,7,1.57,59.09,3
Corentin Tolisso + Mathys De Carvalho + Nicolás Tagliafico,3,7,1.57,59.09,3
Dominik Greif + Mathys De Carvalho + Nicolás Tagliafico,3,7,1.57,59.09,3
Mathys De Carvalho + Moussa Niakhate + Nicolás Tagliafico,3,7,1.57,59.09,3
Mathys De Carvalho + Nicolás Tagliafico + Pavel Šulc,3,7,1.57,59.09,3
Afonso Moreira + Mathys De Carvalho + Tyler Morton,3,7,1.57,58.97,3
Corentin Tolisso + Mathys De Carvalho + Tyler Morton,3,7,1.57,58.97,3
Dominik Greif + Mathys De Carvalho + Tyler Morton,3,7,1.57,58.97,3
Mathys De Carvalho + Moussa Niakhate + Tyler Morton,3,7,1.57,58.97,3
Mathys De Carvalho + Pavel Šulc + Tyler Morton,3,7,1.57,58.97,3
Abner + Adam Karabec + Ainsley Maitland-Niles,3,9,1.56,59.27,3
Abner + Adam Karabec + Tanner Tessmann,3,9,1.56,59.27,3
Abner + Ainsley Maitland-Niles + Tanner Tessmann,3,9,1.56,59.27,3
Abner + Corentin Tolisso + Tanner Tessmann,3,9,1.56,59.27,3
Abner + Pavel Šulc + Tanner Tessmann,3,9,1.56,59.27,3
Abner + Ainsley Maitland-Niles + Moussa Niakhate,3,9,1.56,59.14,3
Afonso Moreira + Martin Satriano + Nicolás Tagliafico,3,9,1.56,58.97,3
Ainsley Maitland-Niles + Martin Satriano + Nicolás Tagliafico,3,9,1.56,58.97,3
Corentin Tolisso + Martin Satriano + Nicolás Tagliafico,3,9,1.56,58.97,3
Dominik Greif + Martin Satriano + Nicolás Tagliafico,3,9,1.56,58.97,3
Martin Satriano + Nicolás Tagliafico + Pavel Šulc,3,9,1.56,58.97,3
Abner + Ainsley Maitland-Niles + Clinton Mata,3,9,1.56,58.87,3
Afonso Moreira + Martin Satriano + Tyler Morton,3,9,1.56,58.87,3
Corentin Tolisso + Martin Satriano + Tyler Morton,3,9,1.56,58.87,3
Dominik Greif + Martin Satriano + Tyler Morton,3,9,1.56,58.87,3
Martin Satriano + Pavel Šulc + Tyler Morton,3,9,1.56,58.87,3
Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann,3,11,1.55,58.87,3
Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc,3,11,1.55,58.76,3
Afonso Moreira + Tanner Tessmann + Tyler Morton,3,11,1.55,58.73,3
Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,3,11,1.55,58.73,3
Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,3,11,1.55,58.62,3
Clinton Mata + Nicolás Tagliafico + Pavel Šulc,3,11,1.55,58.54,3
Clinton Mata + Nicolás Tagliafico + Tyler Morton,3,11,1.55,58.41,3
Abner + Corentin Tolisso + Pavel Šulc,3,11,1.55,58.3,3
Ainsley Maitland-Niles + Pavel Šulc + Tyler Morton,3,13,1.54,58.08,3
